ratio,model,n_rows,n_presences,auc_spatial_mean,prauc_spatial_mean,f1_spatial_mean,auc_temporal,prauc_temporal,f1_temporal
1:1,Logistic Regression,4154,2077,0.8455182441038591,0.8225462610755878,0.7539452544470853,0.8095366540790025,0.7469310007006094,0.6632302405498282
1:1,Random Forest,4154,2077,0.8783504585744245,0.8656080704005849,0.7895384375895116,0.8171192231613019,0.7037998795813071,0.6843033509700176
1:1,XGBoost,4154,2077,0.8710800051377481,0.8637698680296584,0.7886426236200366,0.8109053127934625,0.7165389949917043,0.6925795053003534
