model,best_params,auc_spatial_mean,auc_spatial_std,prauc_spatial_mean,prauc_spatial_std,f1_spatial_mean,f1_spatial_std,auc_temporal,prauc_temporal,f1_temporal,cm_spatial_tn,cm_spatial_fp,cm_spatial_fn,cm_spatial_tp,cm_temporal_tn,cm_temporal_fp,cm_temporal_fn,cm_temporal_tp
Logistic Regression,"{'clf__C': 0.01, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.8320481271523772,0.06404741562388633,0.7027051677202434,0.10452583902183486,0.613299682578609,0.12254581335248169,0.8081978093314149,0.6168140782993087,0.5571658615136876,3656,498,891,1186,630,199,76,173
Random Forest,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",0.8768744212272773,0.041417699656135794,0.779413976619862,0.06737957677176976,0.6804502816813842,0.07398765639116969,0.8192625750287034,0.5687225914587236,0.56,3736,418,762,1315,628,201,74,175
