predictor,shap_mean_abs,impurity,permutation,permutation_std,rank_shap_mean_abs,rank_impurity,rank_permutation
ndvi,0.14305667181414158,0.30189806450767964,0.2603629485433817,0.006016007575653838,1,1,1
wind_ms,0.06635746636706359,0.14849058694702222,0.12478947417812421,0.0026163792800983467,2,2,2
dist_parks,0.030837148856457303,0.10114621597720787,0.05366865559022884,0.002188588026155076,3,3,3
vpd_kPa,0.028404891122136147,0.09542715940476061,0.048873026014191384,0.001902076088764258,4,4,4
dist_roads,0.020612782835055535,0.08938453780741257,0.03236413384066008,0.0009619848929057712,5,5,5
oni,0.017651223311298488,0.05063634463391734,0.02739369989233323,0.001062766999748932,6,8,6
dist_coca,0.01671511235903609,0.08048836101157238,0.026895602218516813,0.0007473215807097621,7,7,7
dist_mosaic,0.016248704330626675,0.04735224454439305,0.023782978899087943,0.0010837181532516614,8,9,9
temp_C,0.016106916935662886,0.08517648516603434,0.025990592093637955,0.000578816643558387,9,6,8
