predictor,shap_mean_abs,impurity,permutation,permutation_std,rank_shap_mean_abs,rank_impurity,rank_permutation
ndvi,0.11796164122980811,0.21465627304788337,0.11933191518919532,0.004790447362776165,1,1,1
wind_ms,0.11412001922908306,0.20829479971811343,0.10463374207752059,0.0036520340521580246,2,2,2
vpd_kPa,0.07086853867668072,0.14626381246019995,0.04454792290363587,0.0019454669786198452,3,3,3
dist_parks,0.04672351242176136,0.09444630670992697,0.03858935126920285,0.0013163682374172693,4,5,4
temp_C,0.0451225313185528,0.10511330006852304,0.022638412765646144,0.000888570381035231,5,4,5
oni,0.029444931443921057,0.06927502690692446,0.020867393970728555,0.0008457529101480206,6,7,6
dist_roads,0.022909313414751963,0.07319478852425237,0.013335131234647135,0.0007016133338364745,7,6,7
dist_mosaic,0.013615540446307656,0.03735233602751559,0.00886264051906222,0.0003649361559150033,8,9,8
dist_coca,0.010139343416275324,0.05140335653666066,0.008405839429528616,0.000313109807536526,9,8,9
