year,temp_C,precip_mm,wind_ms,rh_pct,vpd_kPa,solar_MJ_m2,ndvi
2001,24.44156060148208,441.25718182206884,0.9083894203229743,80.07931101899878,0.6121237134018377,567.0548345197184,0.8112250417990426
2002,25.22036911911556,465.40706355842605,0.953810216369592,81.3484964854385,0.6071116061010676,549.6577599906494,0.7480680985025163
2003,25.540087606153463,361.6024051457434,0.7290930874455683,79.57468033963009,0.6730745111536235,564.1921817878099,0.7959989660685044
2004,25.7474099339953,375.164850118076,1.0520562563086038,74.69719782049359,0.8631035398457019,577.0555679459422,0.7342695595645973
2005,25.3311663169992,467.4185490247418,0.9040605725959872,82.88823761034078,0.554887615885386,551.4953638685628,0.7837738937952634
2006,25.132334653773228,473.95082496805065,1.0711681266486586,80.7482090059332,0.6190830746873414,558.7838130930697,0.778739531652531
2007,26.112998167145008,352.95483386311986,0.9323602953957427,74.8251996874562,0.9017468753777304,575.2608140318555,0.7807366405093531
2008,25.234941224477666,449.95212304302635,1.0943153923943019,78.01042688961097,0.7124138574512575,567.0440572853175,0.7972973674039023
2009,25.02557253721409,524.7057762889407,1.1162213338251699,82.28895279871104,0.5662385879609841,544.5579686434614,0.7571670747999406
2010,26.01935071367558,381.3568930068431,0.6908291919233663,79.73385999721067,0.6846078556445958,573.4755230864619,0.7744171188183773
2011,25.223495914696855,430.27996308765006,1.140142736511492,79.71104288035087,0.658133785989101,567.9738042389421,0.7857349303467214
2012,24.855146452346276,543.447856419472,1.0740778294075843,82.74864817024778,0.5482884348420242,537.1168126048376,0.7674553255205118
2013,25.463952849396605,494.4968987300854,0.7904443748713701,81.08380758361446,0.6218718175021546,539.90342209631,0.7700480707925615
2014,25.534908473538906,430.7520276406718,0.9198948265363928,78.34518014803933,0.7186480165567919,550.4003000442789,0.7584238824856109
2015,24.857890430326336,545.7584017915627,0.6612534977554824,84.77396319046812,0.47870033039181653,526.2106307205523,0.7574526019854603
2016,26.3341327622029,392.50755187224024,0.6933700701622681,77.65689502542746,0.7925539048535204,565.1667974328852,0.6819487610148034
2017,24.996474592594552,569.5674732718477,1.0445749725606028,82.9613323192889,0.546222778267631,528.2475489150107,0.7897217008249116
2018,25.615350109349436,382.9148582322369,1.030950943064819,77.29328661894884,0.7664963401441592,564.0467836468471,0.7840132097795005
2019,25.111345853444277,496.67761364693115,0.6093788910563087,82.18583130182205,0.5715243117351057,510.9813277541474,0.7280932639782041
2020,25.846741381004506,489.2518006856951,0.713797404161353,79.23109481652689,0.7052074316823723,550.007717001972,0.7511288730232564
2021,25.32534983526989,477.22939838927755,0.9117699697595535,79.85341960599546,0.6625426301122977,551.0686107321555,0.7698966268841726
2022,26.06089411701464,329.2111832468304,1.0469666412096512,73.29962704066017,0.9122704478453323,583.1787642741303,0.7775494362734655
2023,25.584347293835435,266.9383990548198,1.116606860456172,73.22097111448632,0.8878524876409529,597.2561618593668,0.7780044154641796
2024,26.25710562543884,413.76887195934705,0.518063149423148,79.58556450775784,0.7034930771786894,562.0907386053645,0.7699889431670386
2025,25.376025014658808,520.5265825215631,0.691293757158015,81.35250810915585,0.6049309229475122,547.6623650205696,0.7716996027458731
