model,n_rows,ratio,buffer_km,spatial_roc_auc,spatial_roc_auc_std,temporal_roc_auc,spatial_pr_auc,spatial_pr_auc_std,temporal_pr_auc,spatial_f1_at_0.5,spatial_f1_at_0.5_std,temporal_f1_at_0.5,spatial_f1_best,spatial_f1_best_std,temporal_f1_best,temporal_best_threshold
Logistic Regression,4154,1:1,7-15,0.7505238477895051,0.03136073964329336,0.6619731939807423,0.7374816513280242,0.03354115209540837,0.7087387421042053,0.6694271053581804,0.06825580454955002,0.6278195488721805,0.727657133249527,0.018662617944196255,0.6684856753069578,0.17253720440775372
Random Forest,4154,1:1,7-15,0.7827651811249184,0.03168747014422367,0.6747310527249561,0.7740078034066998,0.03625272284309056,0.6924135318219513,0.706458269823292,0.05835468995434081,0.6361904761904762,0.7420500355963559,0.024558666797725642,0.6784660766961652,0.24523486317603976
XGBoost,4154,1:1,7-15,0.7731267396826649,0.04305384622529596,0.6632151094337189,0.7633755695219924,0.05094846021936807,0.6589170733583671,0.6876881249094524,0.05465621299806856,0.6465028355387523,0.7392749953596263,0.021513031323001423,0.6773675762439807,0.24546800553798676
