burned,dist_coca,dist_mosaic,dist_parks,dist_roads,ndvi,temp_C,vpd_kPa,wind_ms,lon,lat,year,oni,block
1,1721.6218275551091,498.2576517224798,14903.786276341618,621.8663214114372,0.4602666666666667,25.791527466009825,0.6852290015657321,0.9024482392318436,-74.21656298574457,1.3362439851277883,2013,-0.3,-297_5
1,271.0201299177508,498.3151456407883,21352.907145027635,303.0795127152362,0.7478666666666667,25.939702431141143,0.7169078692192469,1.0120283465704532,-74.18063037437979,0.4783528887936452,2018,-0.8,-297_1
0,70.4905345738787,1795.7784436700424,35131.111439603155,6923.157497294993,0.8288000000000001,27.055026088222405,1.2055864348409242,1.3549416394756142,-71.94382531692219,2.6747337584658752,2007,0.7,-288_10
1,367.49027115578593,498.1450435114255,11875.11690822694,228.0909977265312,0.7181166666666667,26.35316570529068,1.0886692632775208,1.1944224463783906,-74.22105456216516,2.198626657882529,2018,-0.8,-297_8
1,1229.5550797332426,2054.207621718165,14506.765732495238,347.5568551667501,0.4463333333333333,26.09177361926362,0.8370272323960882,1.289141279400019,-73.92011894198512,1.6865869459344016,2013,-0.3,-296_6
0,2903.4004045479173,0.0,17055.77132272,222.35829520433808,0.7068833333333333,25.98193984795887,0.8165978433536615,0.9218398461810392,-74.82741737894584,1.848283697075916,2009,-0.8,-300_7
1,4262.582745759226,4700.081392247373,31977.784208521764,6540.090190128841,0.55505,26.018267881204963,0.9431714871370004,1.0934017898271502,-74.05486623460305,1.7719268979257563,2003,0.9,-297_7
1,4307.798658809932,4256.61632050623,37433.24106541271,2018.7301896666756,0.57825,26.883844757617283,1.2745372076487338,1.4514721613790564,-74.11774830449143,1.8348089678141228,2007,0.7,-297_7
1,86.95090563938007,1113.6905497601208,41197.30299439917,1089.99358363489,0.5501,26.735357524942174,1.0366237874189597,1.2273340701446485,-72.27620197204641,2.6837169113070707,2003,0.9,-290_10
0,426.4759361642627,498.0593275404046,33952.20475179287,3995.588964035696,0.8420333333333334,26.58845642014643,1.0667852528984845,1.4683054247162215,-71.98424950470756,2.6747337584658752,2018,-0.8,-288_10
1,213.24066221021388,0.0,45838.65092868018,107.00170616738222,0.7755833333333333,26.588589486279886,0.9421157787997106,0.7622918739727128,-74.67919535706612,1.2868366445012147,2007,0.7,-299_5
0,1837.522519450168,0.0,10010.852807178286,2975.816782872337,0.6579,26.746312633472428,0.9403151399111124,0.8878125947151524,-73.9740178590323,1.4485333956427284,2016,2.6,-296_5
0,492.1035512752449,0.0,25559.03670287292,1591.0983660642553,0.6103000000000001,27.38395289759489,1.3633690651307304,1.1668099151728957,-74.48605757098042,1.5742975354194615,2022,-0.8,-298_6
1,210.85482864483063,0.0,20978.247317419016,780.599391101646,0.5905833333333333,26.028573039564947,1.123837528409824,1.2523440572892997,-74.3558018547831,1.9515899547496605,2004,0.4,-298_7
1,314.8082019835198,498.0994033574021,738.654147459758,411.98719328599753,0.6327333333333334,24.88031504674302,1.075209452596367,0.9945467567890782,-74.45910811245685,2.463629666697788,2004,0.4,-298_9
1,86.95090563938007,1113.6905497601208,41197.30299439917,1089.99358363489,0.6139666666666668,26.669613301686866,1.0833981258783376,1.5742840743222803,-72.27620197204641,2.6837169113070707,2018,-0.8,-290_10
0,396.31497426025527,498.0784953197638,29644.278903187325,1459.1032776974137,0.7185333333333334,26.68747270469845,1.1073294546014687,1.419762139036191,-72.24476093710221,2.575919077212728,2014,-0.3,-289_10
0,10.062404575403267,498.067264533617,28543.50601452426,306.4443398301907,0.8133,25.042488186187317,0.7945301252275255,1.2529755877040747,-72.05611472743712,2.634309570680497,2001,-0.7,-289_10
0,1751.3976663720534,0.0,17280.251652527677,39.36919146733038,0.608,27.093051967435315,1.370681593667629,1.604110966615923,-74.02342519965887,2.036929906741015,2022,-0.8,-297_8
1,182.57612357439191,0.0,37858.01821701019,3319.850197732639,0.6752833333333333,26.22835844638593,0.92577823602621,0.8296564085019767,-74.49504072382162,1.4620081249045214,2014,-0.3,-298_5
1,554.875685207616,498.0575550325484,34657.44645188,1182.1881200156763,0.5795833333333333,25.5753041089161,0.7489878241015565,1.5557973338498163,-72.12797995016669,2.6837169113070707,2011,-1.3,-289_10
0,9455.008589999596,3891.055811489344,21604.86436371789,3799.888381085793,0.7771666666666668,25.390274231359456,0.7455278813679992,1.7736230517603786,-73.73596430874062,1.8393005442347203,2009,-0.8,-295_7
1,1265.5303638370194,0.0,8132.525424770429,653.045343592115,0.7471333333333333,26.25093412412264,1.107992509463056,1.5616600094946598,-73.71799800305824,2.1492193172559557,2004,0.4,-295_8
